2025-12-12 13:27:56 [INFO]  Executing: sp_GetCasesAsJson
2025-12-12 13:48:39 [INFO]  -------------------
2025-12-12 13:48:39 [INFO]  Batch 5300
2025-12-12 13:48:39 [INFO]  -------------------
2025-12-12 13:48:49 [INFO]  -------------------
2025-12-12 13:48:49 [INFO]  Batch 5350
2025-12-12 13:48:49 [INFO]  -------------------
2025-12-12 13:48:58 [INFO]  -------------------
2025-12-12 13:48:58 [INFO]  Batch 5400
2025-12-12 13:48:58 [INFO]  -------------------
2025-12-12 13:49:07 [INFO]  -------------------
2025-12-12 13:49:07 [INFO]  Batch 5450
2025-12-12 13:49:07 [INFO]  -------------------
2025-12-12 13:49:16 [INFO]  -------------------
2025-12-12 13:49:16 [INFO]  Batch 5500
2025-12-12 13:49:16 [INFO]  -------------------
2025-12-12 13:49:26 [INFO]  -------------------
2025-12-12 13:49:26 [INFO]  Batch 5550
2025-12-12 13:49:26 [INFO]  -------------------
2025-12-12 13:49:35 [INFO]  -------------------
2025-12-12 13:49:35 [INFO]  Batch 5600
2025-12-12 13:49:35 [INFO]  -------------------
2025-12-12 13:49:44 [INFO]  -------------------
2025-12-12 13:49:44 [INFO]  Batch 5650
2025-12-12 13:49:44 [INFO]  -------------------
2025-12-12 13:49:53 [INFO]  -------------------
2025-12-12 13:49:53 [INFO]  Batch 5700
2025-12-12 13:49:53 [INFO]  -------------------
2025-12-12 13:50:03 [INFO]  -------------------
2025-12-12 13:50:03 [INFO]  Batch 5750
2025-12-12 13:50:03 [INFO]  -------------------
2025-12-12 13:50:12 [INFO]  -------------------
2025-12-12 13:50:12 [INFO]  Batch 5800
2025-12-12 13:50:12 [INFO]  -------------------
2025-12-12 13:50:22 [INFO]  -------------------
2025-12-12 13:50:22 [INFO]  Batch 5850
2025-12-12 13:50:22 [INFO]  -------------------
2025-12-12 13:50:31 [INFO]  -------------------
2025-12-12 13:50:31 [INFO]  Batch 5900
2025-12-12 13:50:31 [INFO]  -------------------
2025-12-12 13:50:40 [INFO]  -------------------
2025-12-12 13:50:40 [INFO]  Batch 5950
2025-12-12 13:50:40 [INFO]  -------------------
2025-12-12 13:50:50 [INFO]  -------------------
2025-12-12 13:50:50 [INFO]  Batch 6000
2025-12-12 13:50:50 [INFO]  -------------------
2025-12-12 13:51:00 [INFO]  -------------------
2025-12-12 13:51:00 [INFO]  Batch 6050
2025-12-12 13:51:00 [INFO]  -------------------
2025-12-12 13:51:10 [INFO]  -------------------
2025-12-12 13:51:10 [INFO]  Batch 6100
2025-12-12 13:51:10 [INFO]  -------------------
2025-12-12 13:51:19 [INFO]  -------------------
2025-12-12 13:51:19 [INFO]  Batch 6150
2025-12-12 13:51:19 [INFO]  -------------------
2025-12-12 13:51:28 [INFO]  -------------------
2025-12-12 13:51:28 [INFO]  Batch 6200
2025-12-12 13:51:28 [INFO]  -------------------
2025-12-12 13:51:38 [INFO]  -------------------
2025-12-12 13:51:38 [INFO]  Batch 6250
2025-12-12 13:51:38 [INFO]  -------------------
2025-12-12 13:51:47 [INFO]  -------------------
2025-12-12 13:51:47 [INFO]  Batch 6300
2025-12-12 13:51:47 [INFO]  -------------------
2025-12-12 13:51:56 [INFO]  -------------------
2025-12-12 13:51:56 [INFO]  Batch 6350
2025-12-12 13:51:56 [INFO]  -------------------
2025-12-12 13:52:06 [INFO]  -------------------
2025-12-12 13:52:06 [INFO]  Batch 6400
2025-12-12 13:52:06 [INFO]  -------------------
2025-12-12 13:52:15 [INFO]  -------------------
2025-12-12 13:52:15 [INFO]  Batch 6450
2025-12-12 13:52:15 [INFO]  -------------------
2025-12-12 13:52:25 [INFO]  -------------------
2025-12-12 13:52:25 [INFO]  Batch 6500
2025-12-12 13:52:25 [INFO]  -------------------
2025-12-12 13:52:34 [INFO]  -------------------
2025-12-12 13:52:34 [INFO]  Batch 6550
2025-12-12 13:52:34 [INFO]  -------------------
2025-12-12 13:52:44 [INFO]  -------------------
2025-12-12 13:52:44 [INFO]  Batch 6600
2025-12-12 13:52:44 [INFO]  -------------------
2025-12-12 13:52:53 [INFO]  -------------------
2025-12-12 13:52:53 [INFO]  Batch 6650
2025-12-12 13:52:53 [INFO]  -------------------
2025-12-12 13:53:03 [INFO]  -------------------
2025-12-12 13:53:03 [INFO]  Batch 6700
2025-12-12 13:53:03 [INFO]  -------------------
2025-12-12 13:53:13 [INFO]  -------------------
2025-12-12 13:53:13 [INFO]  Batch 6750
2025-12-12 13:53:13 [INFO]  -------------------
2025-12-12 13:53:22 [INFO]  -------------------
2025-12-12 13:53:22 [INFO]  Batch 6800
2025-12-12 13:53:22 [INFO]  -------------------
2025-12-12 13:53:32 [INFO]  -------------------
2025-12-12 13:53:32 [INFO]  Batch 6850
2025-12-12 13:53:32 [INFO]  -------------------
2025-12-12 13:53:41 [INFO]  -------------------
2025-12-12 13:53:41 [INFO]  Batch 6900
2025-12-12 13:53:41 [INFO]  -------------------
2025-12-12 13:53:50 [INFO]  -------------------
2025-12-12 13:53:50 [INFO]  Batch 6950
2025-12-12 13:53:50 [INFO]  -------------------
2025-12-12 13:53:59 [INFO]  -------------------
2025-12-12 13:53:59 [INFO]  Batch 7000
2025-12-12 13:53:59 [INFO]  -------------------
2025-12-12 13:54:09 [INFO]  -------------------
2025-12-12 13:54:09 [INFO]  Batch 7050
2025-12-12 13:54:09 [INFO]  -------------------
2025-12-12 13:54:19 [INFO]  -------------------
2025-12-12 13:54:19 [INFO]  Batch 7100
2025-12-12 13:54:19 [INFO]  -------------------
2025-12-12 13:54:28 [INFO]  -------------------
2025-12-12 13:54:28 [INFO]  Batch 7150
2025-12-12 13:54:28 [INFO]  -------------------
2025-12-12 13:54:37 [INFO]  -------------------
2025-12-12 13:54:37 [INFO]  Batch 7200
2025-12-12 13:54:37 [INFO]  -------------------
2025-12-12 13:54:47 [INFO]  -------------------
2025-12-12 13:54:47 [INFO]  Batch 7250
2025-12-12 13:54:47 [INFO]  -------------------
2025-12-12 13:54:56 [INFO]  -------------------
2025-12-12 13:54:56 [INFO]  Batch 7300
2025-12-12 13:54:56 [INFO]  -------------------
2025-12-12 13:55:06 [INFO]  -------------------
2025-12-12 13:55:06 [INFO]  Batch 7350
2025-12-12 13:55:06 [INFO]  -------------------
2025-12-12 13:55:15 [INFO]  -------------------
2025-12-12 13:55:15 [INFO]  Batch 7400
2025-12-12 13:55:15 [INFO]  -------------------
2025-12-12 13:55:24 [INFO]  -------------------
2025-12-12 13:55:24 [INFO]  Batch 7450
2025-12-12 13:55:24 [INFO]  -------------------
2025-12-12 13:55:34 [INFO]  -------------------
2025-12-12 13:55:34 [INFO]  Batch 7500
2025-12-12 13:55:34 [INFO]  -------------------
2025-12-12 13:55:43 [INFO]  -------------------
2025-12-12 13:55:43 [INFO]  Batch 7550
2025-12-12 13:55:43 [INFO]  -------------------
2025-12-12 13:55:53 [INFO]  -------------------
2025-12-12 13:55:53 [INFO]  Batch 7600
2025-12-12 13:55:53 [INFO]  -------------------
2025-12-12 13:56:02 [INFO]  -------------------
2025-12-12 13:56:02 [INFO]  Batch 7650
2025-12-12 13:56:02 [INFO]  -------------------
2025-12-12 13:56:12 [INFO]  -------------------
2025-12-12 13:56:12 [INFO]  Batch 7700
2025-12-12 13:56:12 [INFO]  -------------------
2025-12-12 13:56:22 [INFO]  -------------------
2025-12-12 13:56:22 [INFO]  Batch 7750
2025-12-12 13:56:22 [INFO]  -------------------
2025-12-12 13:56:31 [INFO]  -------------------
2025-12-12 13:56:31 [INFO]  Batch 7800
2025-12-12 13:56:31 [INFO]  -------------------
2025-12-12 13:56:41 [INFO]  -------------------
2025-12-12 13:56:41 [INFO]  Batch 7850
2025-12-12 13:56:41 [INFO]  -------------------
2025-12-12 13:56:50 [INFO]  -------------------
2025-12-12 13:56:50 [INFO]  Batch 7900
2025-12-12 13:56:50 [INFO]  -------------------
2025-12-12 13:57:00 [INFO]  -------------------
2025-12-12 13:57:00 [INFO]  Batch 7950
2025-12-12 13:57:00 [INFO]  -------------------
2025-12-12 13:57:09 [INFO]  -------------------
2025-12-12 13:57:09 [INFO]  Batch 8000
2025-12-12 13:57:09 [INFO]  -------------------
2025-12-12 13:57:19 [INFO]  -------------------
2025-12-12 13:57:19 [INFO]  Batch 8050
2025-12-12 13:57:19 [INFO]  -------------------
2025-12-12 13:57:29 [INFO]  -------------------
2025-12-12 13:57:29 [INFO]  Batch 8100
2025-12-12 13:57:29 [INFO]  -------------------
2025-12-12 13:57:38 [INFO]  -------------------
2025-12-12 13:57:38 [INFO]  Batch 8150
2025-12-12 13:57:38 [INFO]  -------------------
2025-12-12 13:57:48 [INFO]  -------------------
2025-12-12 13:57:48 [INFO]  Batch 8200
2025-12-12 13:57:48 [INFO]  -------------------
2025-12-12 13:57:57 [INFO]  -------------------
2025-12-12 13:57:57 [INFO]  Batch 8250
2025-12-12 13:57:57 [INFO]  -------------------
2025-12-12 13:58:07 [INFO]  -------------------
2025-12-12 13:58:07 [INFO]  Batch 8300
2025-12-12 13:58:07 [INFO]  -------------------
2025-12-12 13:58:17 [INFO]  -------------------
2025-12-12 13:58:17 [INFO]  Batch 8350
