2025-10-07 08:23:11 - -------------------
2025-10-07 08:23:11 - Warrants Logs
2025-10-07 08:23:11 - Batch 0
2025-10-07 08:23:11 - -------------------
2025-10-07 08:24:04 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400014: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:04 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400015: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:05 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400016: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:05 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400017: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:06 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400018: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:06 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400019: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:06 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400020: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:07 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400021: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:07 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400022: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:08 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400023: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:08 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400024: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:09 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400025: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:09 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400026: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:10 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400027: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:10 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400028: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:11 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400029: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:11 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400030: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:12 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400031: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:12 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400032: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:12 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400033: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
